Index	Segment Name	Tissue
1	Ant_Cingulate_Cortex_L	GM 
2	Ant_Cingulate_Cortex_R	GM 
3	Mid_Cingulate_Cortex_L	GM 
4	Mid_Cingulate_Cortex_R	GM 
5	Medial_Orbitofrontal_Cortex_L	GM 
6	Medial_Orbitofrontal_Cortex_R	GM 
7	Lateral_Orbitofrontal_Cortex_L	GM 
8	Lateral_Orbitofrontal_Cortex_R	GM 
9	Caudal_Orbitofrontal_Cortex_L	GM 
10	Caudal_Orbitofrontal_Cortex_R	GM 
11	Dorsolateral_Prefrontal_Cortex_L	GM 
12	Dorsolateral_Prefrontal_Cortex_R	GM 
13	Ventrolateral_Prefrontal_Cortex_L	GM 
14	Ventrolateral_Prefrontal_Cortex_R	GM 
15	Medial_Supplementary_Motor_Areas_L	GM 
16	Medial_Supplementary_Motor_Areas_R	GM 
17	Premotor_Cortex_L	GM 
18	Premotor_Cortex_R	GM 
19	Primary_Motor_Cortex_L	GM 
20	Primary_Motor_Cortex_R	GM 
21	Somatosensory_Cortex_L	GM 
22	Somatosensory_Cortex_R	GM 
23	Superior_Parietal_Lobule_L	GM 
24	Superior_Parietal_Lobule_R	GM 
25	Inferior_Parietal_Lobule_L	GM 
26	Inferior_Parietal_Lobule_R	GM 
27	Posterior_Medial_Cortex_L	GM 
28	Posterior_Medial_Cortex_R	GM 
29	Parahippocampal_Cortex_L	GM 
30	Parahippocampal_cortex_R	GM 
31	Rhinal_Cortex_L	GM 
32	Rhinal_Cortex_R	GM 
33	Temporal_Pole_L	GM 
34	Temporal_Pole_R	GM 
35	Inferior_Temporal_Cortex_L	GM 
36	Inferior_Temporal_Cortex_R	GM 
37	Superior_Temporal_Region_L	GM 
38	Superior_Temporal_Region_R	GM 
39	CABA_L	GM 
40	CABA_R	GM 
41	Insula_L	GM 
42	Insula_R	GM 
43	V1_L	GM 
44	V1_R	GM 
45	V2V3_L	GM 
46	V2V3_R	GM 
47	V4_L	GM 
48	V4_R	GM 
49	Claustrum_L	GM 
50	Claustrum_R	GM 
51	Ventral_Pallium_L	GM 
52	Ventral_Pallium_R	GM 
53	Piriform_Cortex_L	GM 
54	Piriform_Cortex_R	GM 
55	Hippocampus_L	GM 
56	Hippocampus_R	GM 
57	Fornix	GM 
58	Lateral_Septum	GM 
59	Basal_Nucleus_Region	GM 
60	Globus_Pallidus_L	GM 
61	Globus_Pallidus_R	GM 
62	Anterior_Commisure	WM
63	Ventral_Pallidum_L	GM 
64	Ventral_Pallidum_R	GM 
65	Amygdala_L	GM 
66	Amygdala_R	GM 
67	Preoptic_Complex	GM 
68	Caudate_L	GM 
69	Caudate_R	GM 
70	Putamen_L	GM 
71	Putamen_R	GM 
72	Internal_Capsule_L	WM
73	Internal_Capsule_R	WM
74	Amygdalostriatal_transition_L	GM 
75	Amygdalostriatal_transition_R	GM 
76	Nucleus_Accumbens_L	GM 
77	Nucleus_Accumbens_R	GM 
78	Hypothalamus	GM 
79	Epithalamus	GM 
80	Ventral_Thalamus	GM 
81	Medial_Thalamus	GM 
82	Dorsal_Midbrain	GM 
83	Lateral_Midbrain	GM 
84	Medial_Midbrain	GM 
85	Ventral_Midbrain	GM 
86	Pons	GM 
87	Cerebellum	GM 
88	Medulla	GM 
89	White_Matter Tracts	WM
90	Centrum_Semiovale	WM
