Index	Segment
1	Lateral_Prefrontal_Cortex_R
2	Motor_Cortex_L
3	Motor_Cortex_R
4	Somatosensory_Cortex_L
5	Somatosensory_Cortex_R
6	Superior_Parietal_Lobule_L
7	Superior_Parietal_Lobule_R
8	Inferior_Parietal_Lobule_L
9	Inferior_Parietal_Lobule_R
10	Posterior_Medial_Cortex_L
11	Posterior_Medial_Cortex_R
12	Medial_Temporal_Lobe_L
13	Medial_Temporal_Lobe_R
14	Temporal_Pole_L
15	Temporal_Pole_R
16	Inferior_Temporal_Cortex_L
17	Inferior_Temporal_Cortex_R
18	Superior_Temporal_Cortex_L
19	Superior_Temporal_Cortex_R
20	Insula_L
21	Insula_R
22	V1_L
23	V1_R
24	Extrastriate_Visual_Areas_L
25	Extrastriate_Visual_Areas_R
26	Lateral_and_Ventral_Pallium_L
27	Lateral_and_Ventral_Pallium_R
28	Medial_Pallium
29	Diagonal_Subpallium
30	Pallidum
31	Amygdala_L
32	Amygdala_R
33	Preoptic_Complex
34	Striatum_L
35	Striatum_R
36	Hypothalamus
37	Epithalamus
38	Thalamus
39	Midbrain
40	Pons
41	Cerebellum
42	Medulla
43	White_Matter_Tracts
